Year,Region,State,Total,Male,Female
2008,Midwest,Michigan,180,170,10
2008,Midwest,Minnesota,92,90,2
2008,Midwest,Missouri,136,120,16
2008,Midwest,Nebraska,35,30,5
2008,Midwest,North Dakota,8,7,1
2008,Midwest,Ohio,245,230,15
2008,Midwest,South Dakota,16,10,6
2008,Midwest,Wisconsin,124,110,14
2008,Northeast,Connecticut,38,30,8
2008,Northeast,Maine,36,30,6
2008,Northeast,Massachusetts,68,60,8
2008,Northeast,New Hampshire,33,30,3
2008,Northeast,New Jersey,81,70,11
2008,Northeast,New York,203,190,13
2008,Northeast,Pennsylvania,279,270,9
2008,Northeast,Rhode Island,16,10,6
2008,Northeast,Vermont,20,10,10
2008,South,Alabama,107,100,7
2008,South,Arkansas,80,70,10
2008,South,Delaware,15,10,5
2008,South,District Of Columbia,8,7,1
2008,South,Florida,537,524,13
2008,South,Georgia,178,170,8
2008,South,Kentucky,112,100,12
2008,South,Louisiana,96,90,6
2008,South,Maryland,87,80,7
2008,South,Mississippi,79,70,9
2008,South,North Carolina,197,180,17
2008,South,Oklahoma,113,100,13
2008,South,South Carolina,103,90,13
2008,South,Tennessee,155,140,15
2008,South,Texas,435,423,12
2008,South,Virginia,161,150,11
2008,South,West Virginia,46,40,6
2008,West,Alaska,20,10,10
2008,West,Arizona,185,170,15
2008,West,California,593,580,13
2008,West,Colorado,167,150,17
2008,West,Hawaii,17,10,7
2008,West,Idaho,55,50,5
2008,West,Montana,47,40,7
2008,West,Nevada,127,110,17
2008,West,New Mexico,60,50,10
2008,West,Oregon,118,110,8
2008,West,Utah,49,40,9
2008,West,Washington,167,160,7
2008,West,Wyoming,30,20,10
2009,Midwest,Illinois,167,150,17
2009,Midwest,Indiana,132,120,12
2009,Midwest,Iowa,72,60,12
2009,Midwest,Kansas,69,60,9
2009,Midwest,Michigan,204,190,14
2009,Midwest,Minnesota,92,80,12
2009,Midwest,Missouri,155,140,15
2009,Midwest,Nebraska,38,30,8
2009,Midwest,North Dakota,8,7,1
2009,Midwest,Ohio,202,190,12
2009,Midwest,South Dakota,26,20,6
2009,Midwest,Wisconsin,124,110,14
2009,Northeast,Connecticut,35,30,5
2009,Northeast,Maine,36,30,6
2009,Northeast,Massachusetts,78,70,8
2009,Northeast,New Hampshire,28,20,8
2009,Northeast,New Jersey,67,60,7
2009,Northeast,New York,184,170,14
2009,Northeast,Pennsylvania,263,250,13
2009,Northeast,Rhode Island,16,10,6
2009,Northeast,Vermont,12,10,2
2009,South,Alabama,142,130,12
2009,South,Arkansas,74,70,4
2009,South,Delaware,11,10,1
2009,South,District Of Columbia,8,7,1
2009,South,Florida,525,512,13
2009,South,Georgia,197,187,10
2009,South,Kentucky,98,90,8
2009,South,Louisiana,84,80,4
2009,South,Maryland,83,80,3
2009,South,Mississippi,66,60,6
2009,South,North Carolina,175,160,15
2009,South,Oklahoma,101,90,11
2009,South,South Carolina,117,110,7
2009,South,Tennessee,168,160,8
2009,South,Texas,447,428,19
2009,South,Virginia,173,160,13
2009,South,West Virginia,48,40,8
2009,West,Alaska,29,20,9
2009,West,Arizona,192,180,12
2009,West,California,567,543,24
2009,West,Colorado,172,160,12
2009,West,Hawaii,22,20,2
2009,West,Idaho,57,50,7
2009,West,Montana,48,40,8
2009,West,Nevada,101,90,11
2009,West,New Mexico,76,70,6
2009,West,Oregon,118,110,8
2009,West,Utah,62,60,2
2009,West,Washington,188,170,18
2009,West,Wyoming,21,10,11
2010,Midwest,Illinois,164,150,14
2010,Midwest,Indiana,129,120,9
2010,Midwest,Iowa,70,60,10
2010,Midwest,Kansas,64,50,14
2010,Midwest,Michigan,172,160,12
2010,Midwest,Minnesota,89,80,9
2010,Midwest,Missouri,162,150,12
2010,Midwest,Nebraska,34,30,4
2010,Midwest,North Dakota,22,10,12
2010,Midwest,Ohio,258,240,18
2010,Midwest,South Dakota,19,10,9
2010,Midwest,Wisconsin,141,130,11
2010,Northeast,Connecticut,47,40,7
2010,Northeast,Maine,43,30,13
2010,Northeast,Massachusetts,86,80,6
2010,Northeast,New Hampshire,33,30,3
2010,Northeast,New Jersey,77,70,7
2010,Northeast,New York,186,170,16
2010,Northeast,Pennsylvania,246,230,16
2010,Northeast,Rhode Island,14,10,4
2010,Northeast,Vermont,18,10,8
2010,South,Alabama,112,110,2
2010,South,Arkansas,80,70,10
2010,South,Delaware,14,10,4
2010,South,District Of Columbia,8,7,1
2010,South,Florida,540,521,19
2010,South,Georgia,184,174,10
2010,South,Kentucky,108,100,8
2010,South,Louisiana,95,90,5
2010,South,Maryland,77,70,7
2010,South,Mississippi,71,60,11
2010,South,North Carolina,187,180,7
2010,South,Oklahoma,112,100,12
2010,South,South Carolina,111,100,11
2010,South,Tennessee,133,120,13
2010,South,Texas,474,457,17
2010,South,Virginia,156,150,6
2010,South,West Virginia,49,40,9
2010,West,Alaska,26,20,6
2010,West,Arizona,189,180,9
2010,West,California,539,513,26
2010,West,Colorado,139,130,9
2010,West,Hawaii,19,10,9
2010,West,Idaho,58,50,8
2010,West,Montana,52,50,2
2010,West,Nevada,112,100,12
2010,West,New Mexico,66,60,6
2010,West,Oregon,127,120,7
2010,West,Utah,62,60,2
2010,West,Washington,166,154,12
2010,West,Wyoming,27,20,7
2011,Midwest,Illinois,154,150,4
2011,Midwest,Indiana,127,120,7
2011,Midwest,Iowa,75,70,5
2011,Midwest,Kansas,57,50,7
2011,Midwest,Michigan,187,180,7
2011,Midwest,Minnesota,101,90,11
