Cause of Death,Deaths,Percent,State,First Year,Last Year,Race/Ethnicty,Sex,Age Group
Unspecified,34,0.538912664,Midwest,2010,2010,"All Races,",Males,Ages 18-85+
Transportation- Related,31,0.491361547,Midwest,2010,2010,"All Races,",Males,Ages 18-85+
Fire/burn,19,0.301157077,Midwest,2010,2010,"All Races,",Males,Ages 18-85+
Firearm,4023,53.21428571,West,2010,2010,"All Races,",Males,Ages 18-85+
Suffocation,1868,24.70899471,West,2010,2010,"All Races,",Males,Ages 18-85+
Poisoning,1060,14.02116402,West,2010,2010,"All Races,",Males,Ages 18-85+
Fall,195,2.579365079,West,2010,2010,"All Races,",Males,Ages 18-85+
Cut/pierce,154,2.037037037,West,2010,2010,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",66,0.873015873,West,2010,2010,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",62,0.82010582,West,2010,2010,"All Races,",Males,Ages 18-85+
Drowning,57,0.753968254,West,2010,2010,"All Races,",Males,Ages 18-85+
Unspecified,30,0.396825397,West,2010,2010,"All Races,",Males,Ages 18-85+
Transportation- Related,24,0.317460317,West,2010,2010,"All Races,",Males,Ages 18-85+
Fire/burn,21,0.277777778,West,2010,2010,"All Races,",Males,Ages 18-85+
Firearm,16932,56.12941722,United States,2011,2011,"All Races,",Males,Ages 18-85+
Suffocation,7550,25.02817742,United States,2011,2011,"All Races,",Males,Ages 18-85+
Poisoning,3425,11.35384207,United States,2011,2011,"All Races,",Males,Ages 18-85+
Fall,587,1.945899357,United States,2011,2011,"All Races,",Males,Ages 18-85+
Cut/pierce,550,1.823244713,United States,2011,2011,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",321,1.064111914,United States,2011,2011,"All Races,",Males,Ages 18-85+
Drowning,232,0.76907777,United States,2011,2011,"All Races,",Males,Ages 18-85+
Unspecified,200,0.662998077,United States,2011,2011,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",140,0.464098654,United States,2011,2011,"All Races,",Males,Ages 18-85+
Transportation- Related,115,0.381223894,United States,2011,2011,"All Races,",Males,Ages 18-85+
Fire/burn,113,0.374593914,United States,2011,2011,"All Races,",Males,Ages 18-85+
Struck by or Against,1,0.00331499,United States,2011,2011,"All Races,",Males,Ages 18-85+
Firearm,1836,41.67990919,Northeast,2011,2011,"All Races,",Males,Ages 18-85+
Suffocation,1451,32.93984109,Northeast,2011,2011,"All Races,",Males,Ages 18-85+
Poisoning,588,13.34846765,Northeast,2011,2011,"All Races,",Males,Ages 18-85+
Fall,137,3.110102157,Northeast,2011,2011,"All Races,",Males,Ages 18-85+
Cut/pierce,126,2.860385925,Northeast,2011,2011,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",81,1.838819523,Northeast,2011,2011,"All Races,",Males,Ages 18-85+
Drowning,66,1.498297389,Northeast,2011,2011,"All Races,",Males,Ages 18-85+
Unspecified,41,0.930760499,Northeast,2011,2011,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",33,0.749148695,Northeast,2011,2011,"All Races,",Males,Ages 18-85+
Fire/burn,25,0.56753689,Northeast,2011,2011,"All Races,",Males,Ages 18-85+
Transportation- Related,20,0.454029512,Northeast,2011,2011,"All Races,",Males,Ages 18-85+
Struck by or Against,1,0.022701476,Northeast,2011,2011,"All Races,",Males,Ages 18-85+
Firearm,7496,63.82290336,South,2011,2011,"All Races,",Males,Ages 18-85+
Suffocation,2452,20.87696892,South,2011,2011,"All Races,",Males,Ages 18-85+
Poisoning,1126,9.587058323,South,2011,2011,"All Races,",Males,Ages 18-85+
Cut/pierce,161,1.370796083,South,2011,2011,"All Races,",Males,Ages 18-85+
Fall,149,1.268624947,South,2011,2011,"All Races,",Males,Ages 18-85+
Drowning,84,0.715197957,South,2011,2011,"All Races,",Males,Ages 18-85+
Unspecified,84,0.715197957,South,2011,2011,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",79,0.67262665,South,2011,2011,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",51,0.434227331,South,2011,2011,"All Races,",Males,Ages 18-85+
Fire/burn,39,0.332056194,South,2011,2011,"All Races,",Males,Ages 18-85+
Transportation- Related,24,0.204342273,South,2011,2011,"All Races,",Males,Ages 18-85+
Firearm,3498,54.24096759,Midwest,2011,2011,"All Races,",Males,Ages 18-85+
Suffocation,1778,27.57016592,Midwest,2011,2011,"All Races,",Males,Ages 18-85+
Poisoning,751,11.64521631,Midwest,2011,2011,"All Races,",Males,Ages 18-85+
Cut/pierce,111,1.721197085,Midwest,2011,2011,"All Races,",Males,Ages 18-85+
Fall,93,1.442084044,Midwest,2011,2011,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",58,0.899364243,Midwest,2011,2011,"All Races,",Males,Ages 18-85+
Drowning,38,0.589238642,Midwest,2011,2011,"All Races,",Males,Ages 18-85+
Unspecified,36,0.558226082,Midwest,2011,2011,"All Races,",Males,Ages 18-85+
Transportation- Related,33,0.511707241,Midwest,2011,2011,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",28,0.434175841,Midwest,2011,2011,"All Races,",Males,Ages 18-85+
Fire/burn,25,0.387657001,Midwest,2011,2011,"All Races,",Males,Ages 18-85+
Firearm,4102,54.20906568,West,2011,2011,"All Races,",Males,Ages 18-85+
Suffocation,1869,24.69935245,West,2011,2011,"All Races,",Males,Ages 18-85+
Poisoning,960,12.68666579,West,2011,2011,"All Races,",Males,Ages 18-85+
Fall,208,2.748777587,West,2011,2011,"All Races,",Males,Ages 18-85+
Cut/pierce,152,2.008722083,West,2011,2011,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",103,1.361173517,West,2011,2011,"All Races,",Males,Ages 18-85+
Drowning,44,0.581472182,West,2011,2011,"All Races,",Males,Ages 18-85+
Unspecified,39,0.515395798,West,2011,2011,"All Races,",Males,Ages 18-85+
Transportation- Related,38,0.502180521,West,2011,2011,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",28,0.370027752,West,2011,2011,"All Races,",Males,Ages 18-85+
Fire/burn,24,0.317166645,West,2011,2011,"All Races,",Males,Ages 18-85+
Firearm,17519,56.631647,United States,2012,2012,"All Races,",Males,Ages 18-85+
Suffocation,7610,24.59996767,United States,2012,2012,"All Races,",Males,Ages 18-85+
Poisoning,3520,11.37869727,United States,2012,2012,"All Races,",Males,Ages 18-85+
Fall,685,2.214320349,United States,2012,2012,"All Races,",Males,Ages 18-85+
Cut/pierce,594,1.920155164,United States,2012,2012,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",383,1.238079845,United States,2012,2012,"All Races,",Males,Ages 18-85+
Drowning,267,0.863100048,United States,2012,2012,"All Races,",Males,Ages 18-85+
Transportation- Related,122,0.394375303,United States,2012,2012,"All Races,",Males,Ages 18-85+
Fire/burn,106,0.342653952,United States,2012,2012,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",93,0.300630354,United States,2012,2012,"All Races,",Males,Ages 18-85+
Unspecified,36,0.11637304,United States,2012,2012,"All Races,",Males,Ages 18-85+
Firearm,1809,42.32569022,Northeast,2012,2012,"All Races,",Males,Ages 18-85+
Suffocation,1391,32.54562471,Northeast,2012,2012,"All Races,",Males,Ages 18-85+
Poisoning,572,13.38324754,Northeast,2012,2012,"All Races,",Males,Ages 18-85+
Fall,177,4.141319607,Northeast,2012,2012,"All Races,",Males,Ages 18-85+
Cut/pierce,123,2.877866168,Northeast,2012,2012,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",81,1.895180159,Northeast,2012,2012,"All Races,",Males,Ages 18-85+
Drowning,58,1.357042583,Northeast,2012,2012,"All Races,",Males,Ages 18-85+
Transportation- Related,24,0.561534862,Northeast,2012,2012,"All Races,",Males,Ages 18-85+
Fire/burn,20,0.467945718,Northeast,2012,2012,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",16,0.374356575,Northeast,2012,2012,"All Races,",Males,Ages 18-85+
Unspecified,3,0.070191858,Northeast,2012,2012,"All Races,",Males,Ages 18-85+
Firearm,7652,63.66056572,South,2012,2012,"All Races,",Males,Ages 18-85+
Suffocation,2504,20.83194676,South,2012,2012,"All Races,",Males,Ages 18-85+
Poisoning,1185,9.858569052,South,2012,2012,"All Races,",Males,Ages 18-85+
Cut/pierce,192,1.59733777,South,2012,2012,"All Races,",Males,Ages 18-85+
Fall,165,1.372712146,South,2012,2012,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",101,0.840266223,South,2012,2012,"All Races,",Males,Ages 18-85+
Drowning,98,0.81530782,South,2012,2012,"All Races,",Males,Ages 18-85+
Fire/burn,38,0.316139767,South,2012,2012,"All Races,",Males,Ages 18-85+
Transportation- Related,35,0.291181364,South,2012,2012,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",29,0.241264559,South,2012,2012,"All Races,",Males,Ages 18-85+
Unspecified,21,0.174708819,South,2012,2012,"All Races,",Males,Ages 18-85+
Firearm,3765,56.05180884,Midwest,2012,2012,"All Races,",Males,Ages 18-85+
Suffocation,1760,26.20217359,Midwest,2012,2012,"All Races,",Males,Ages 18-85+
Poisoning,758,11.28479976,Midwest,2012,2012,"All Races,",Males,Ages 18-85+
Cut/pierce,113,1.682298645,Midwest,2012,2012,"All Races,",Males,Ages 18-85+
Fall,96,1.429209469,Midwest,2012,2012,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",84,1.250558285,Midwest,2012,2012,"All Races,",Males,Ages 18-85+
Drowning,59,0.878368319,Midwest,2012,2012,"All Races,",Males,Ages 18-85+
Transportation- Related,27,0.401965163,Midwest,2012,2012,"All Races,",Males,Ages 18-85+
Fire/burn,26,0.387077564,Midwest,2012,2012,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",23,0.342414768,Midwest,2012,2012,"All Races,",Males,Ages 18-85+
Unspecified,6,0.089325592,Midwest,2012,2012,"All Races,",Males,Ages 18-85+
Firearm,4293,54.17718324,West,2012,2012,"All Races,",Males,Ages 18-85+
Suffocation,1955,24.67188289,West,2012,2012,"All Races,",Males,Ages 18-85+
Poisoning,1005,12.68298839,West,2012,2012,"All Races,",Males,Ages 18-85+
Fall,247,3.117112569,West,2012,2012,"All Races,",Males,Ages 18-85+
Cut/pierce,166,2.094901565,West,2012,2012,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",117,1.476527007,West,2012,2012,"All Races,",Males,Ages 18-85+
Drowning,52,0.656234225,West,2012,2012,"All Races,",Males,Ages 18-85+
Transportation- Related,36,0.454316002,West,2012,2012,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",25,0.315497224,West,2012,2012,"All Races,",Males,Ages 18-85+
Fire/burn,22,0.277637557,West,2012,2012,"All Races,",Males,Ages 18-85+
Unspecified,6,0.075719334,West,2012,2012,"All Races,",Males,Ages 18-85+
Firearm,17812,57.14469041,United States,2013,2013,"All Races,",Males,Ages 18-85+
Suffocation,7518,24.11934552,United States,2013,2013,"All Races,",Males,Ages 18-85+
Poisoning,3449,11.06512672,United States,2013,2013,"All Races,",Males,Ages 18-85+
Fall,697,2.236124479,United States,2013,2013,"All Races,",Males,Ages 18-85+
Cut/pierce,616,1.976259224,United States,2013,2013,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",392,1.257619506,United States,2013,2013,"All Races,",Males,Ages 18-85+
Drowning,262,0.840551813,United States,2013,2013,"All Races,",Males,Ages 18-85+
Transportation- Related,139,0.445941611,United States,2013,2013,"All Races,",Males,Ages 18-85+
Fire/burn,122,0.391401989,United States,2013,2013,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",112,0.359319859,United States,2013,2013,"All Races,",Males,Ages 18-85+
Unspecified,51,0.163618864,United States,2013,2013,"All Races,",Males,Ages 18-85+
Firearm,1833,41.82067077,Northeast,2013,2013,"All Races,",Males,Ages 18-85+
Suffocation,1422,32.44353183,Northeast,2013,2013,"All Races,",Males,Ages 18-85+
Poisoning,611,13.94022359,Northeast,2013,2013,"All Races,",Males,Ages 18-85+
Fall,165,3.764544832,Northeast,2013,2013,"All Races,",Males,Ages 18-85+
Cut/pierce,115,2.623773671,Northeast,2013,2013,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",105,2.395619439,Northeast,2013,2013,"All Races,",Males,Ages 18-85+
Drowning,59,1.34610997,Northeast,2013,2013,"All Races,",Males,Ages 18-85+
Fire/burn,32,0.730093543,Northeast,2013,2013,"All Races,",Males,Ages 18-85+
Transportation- Related,20,0.456308465,Northeast,2013,2013,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",13,0.296600502,Northeast,2013,2013,"All Races,",Males,Ages 18-85+
Unspecified,8,0.182523386,Northeast,2013,2013,"All Races,",Males,Ages 18-85+
Firearm,7861,64.89721787,South,2013,2013,"All Races,",Males,Ages 18-85+
Suffocation,2442,20.16015851,South,2013,2013,"All Races,",Males,Ages 18-85+
Poisoning,1056,8.717906382,South,2013,2013,"All Races,",Males,Ages 18-85+
Cut/pierce,210,1.733674565,South,2013,2013,"All Races,",Males,Ages 18-85+
Fall,185,1.527284735,South,2013,2013,"All Races,",Males,Ages 18-85+
Drowning,100,0.825559316,South,2013,2013,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",95,0.784281351,South,2013,2013,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",54,0.445802031,South,2013,2013,"All Races,",Males,Ages 18-85+
Fire/burn,45,0.371501692,South,2013,2013,"All Races,",Males,Ages 18-85+
Transportation- Related,39,0.321968133,South,2013,2013,"All Races,",Males,Ages 18-85+
Unspecified,26,0.214645422,South,2013,2013,"All Races,",Males,Ages 18-85+
Firearm,3905,56.92419825,Midwest,2013,2013,"All Races,",Males,Ages 18-85+
Suffocation,1731,25.23323615,Midwest,2013,2013,"All Races,",Males,Ages 18-85+
Poisoning,765,11.1516035,Midwest,2013,2013,"All Races,",Males,Ages 18-85+
Cut/pierce,128,1.865889213,Midwest,2013,2013,"All Races,",Males,Ages 18-85+
Fall,114,1.66180758,Midwest,2013,2013,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",72,1.049562682,Midwest,2013,2013,"All Races,",Males,Ages 18-85+
Drowning,52,0.758017493,Midwest,2013,2013,"All Races,",Males,Ages 18-85+
Transportation- Related,42,0.612244898,Midwest,2013,2013,"All Races,",Males,Ages 18-85+
Fire/burn,19,0.27696793,Midwest,2013,2013,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",19,0.27696793,Midwest,2013,2013,"All Races,",Males,Ages 18-85+
Unspecified,13,0.189504373,Midwest,2013,2013,"All Races,",Males,Ages 18-85+
Firearm,4213,53.91604812,West,2013,2013,"All Races,",Males,Ages 18-85+
Suffocation,1923,24.60967494,West,2013,2013,"All Races,",Males,Ages 18-85+
Poisoning,1017,13.0151011,West,2013,2013,"All Races,",Males,Ages 18-85+
Fall,233,2.981827489,West,2013,2013,"All Races,",Males,Ages 18-85+
Cut/pierce,163,2.085999488,West,2013,2013,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",120,1.535705145,West,2013,2013,"All Races,",Males,Ages 18-85+
Drowning,51,0.652674686,West,2013,2013,"All Races,",Males,Ages 18-85+
Transportation- Related,38,0.486306629,West,2013,2013,"All Races,",Males,Ages 18-85+
Fire/burn,26,0.332736115,West,2013,2013,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",26,0.332736115,West,2013,2013,"All Races,",Males,Ages 18-85+
Unspecified,4,0.051190171,West,2013,2013,"All Races,",Males,Ages 18-85+
Firearm,17933,55.6614315,United States,2014,2014,"All Races,",Males,Ages 18-85+
Suffocation,8442,26.20274381,United States,2014,2014,"All Races,",Males,Ages 18-85+
Poisoning,3494,10.84486933,United States,2014,2014,"All Races,",Males,Ages 18-85+
Fall,711,2.206840896,United States,2014,2014,"All Races,",Males,Ages 18-85+
Cut/pierce,615,1.908870818,United States,2014,2014,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",364,1.129803216,United States,2014,2014,"All Races,",Males,Ages 18-85+
Drowning,229,0.710782792,United States,2014,2014,"All Races,",Males,Ages 18-85+
Transportation- Related,125,0.387981873,United States,2014,2014,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",121,0.375566454,United States,2014,2014,"All Races,",Males,Ages 18-85+
Fire/burn,119,0.369358744,United States,2014,2014,"All Races,",Males,Ages 18-85+
Unspecified,64,0.198646719,United States,2014,2014,"All Races,",Males,Ages 18-85+
Struck by or Against,1,0.003103855,United States,2014,2014,"All Races,",Males,Ages 18-85+
Firearm,1894,42.25792057,Northeast,2014,2014,"All Races,",Males,Ages 18-85+
Suffocation,1518,33.86880857,Northeast,2014,2014,"All Races,",Males,Ages 18-85+
Poisoning,540,12.04819277,Northeast,2014,2014,"All Races,",Males,Ages 18-85+
Fall,178,3.971441321,Northeast,2014,2014,"All Races,",Males,Ages 18-85+
Cut/pierce,110,2.45426149,Northeast,2014,2014,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",85,1.896474788,Northeast,2014,2014,"All Races,",Males,Ages 18-85+
Drowning,64,1.427933958,Northeast,2014,2014,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",26,0.58009817,Northeast,2014,2014,"All Races,",Males,Ages 18-85+
Fire/burn,25,0.557786702,Northeast,2014,2014,"All Races,",Males,Ages 18-85+
Transportation- Related,24,0.535475234,Northeast,2014,2014,"All Races,",Males,Ages 18-85+
Unspecified,18,0.401606426,Northeast,2014,2014,"All Races,",Males,Ages 18-85+
Firearm,7889,62.88059939,South,2014,2014,"All Races,",Males,Ages 18-85+
Suffocation,2811,22.40554758,South,2014,2014,"All Races,",Males,Ages 18-85+
Poisoning,1162,9.261916149,South,2014,2014,"All Races,",Males,Ages 18-85+
Cut/pierce,204,1.62601626,South,2014,2014,"All Races,",Males,Ages 18-85+
Fall,173,1.378925554,South,2014,2014,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",83,0.661565439,South,2014,2014,"All Races,",Males,Ages 18-85+
Drowning,71,0.565917424,South,2014,2014,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",43,0.342738722,South,2014,2014,"All Races,",Males,Ages 18-85+
Fire/burn,41,0.326797386,South,2014,2014,"All Races,",Males,Ages 18-85+
Transportation- Related,40,0.318826718,South,2014,2014,"All Races,",Males,Ages 18-85+
Unspecified,29,0.23114937,South,2014,2014,"All Races,",Males,Ages 18-85+
Firearm,3813,55.32501451,Midwest,2014,2014,"All Races,",Males,Ages 18-85+
Suffocation,1881,27.29251306,Midwest,2014,2014,"All Races,",Males,Ages 18-85+
Poisoning,766,11.11433546,Midwest,2014,2014,"All Races,",Males,Ages 18-85+
Fall,110,1.596053395,Midwest,2014,2014,"All Races,",Males,Ages 18-85+
Cut/pierce,109,1.581543819,Midwest,2014,2014,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",82,1.189785258,Midwest,2014,2014,"All Races,",Males,Ages 18-85+
Drowning,50,0.725478816,Midwest,2014,2014,"All Races,",Males,Ages 18-85+
Transportation- Related,29,0.420777713,Midwest,2014,2014,"All Races,",Males,Ages 18-85+
Fire/burn,23,0.333720255,Midwest,2014,2014,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",17,0.246662797,Midwest,2014,2014,"All Races,",Males,Ages 18-85+
Unspecified,12,0.174114916,Midwest,2014,2014,"All Races,",Males,Ages 18-85+
Firearm,4337,52.26560617,West,2014,2014,"All Races,",Males,Ages 18-85+
Suffocation,2232,26.89804772,West,2014,2014,"All Races,",Males,Ages 18-85+
Poisoning,1026,12.36442516,West,2014,2014,"All Races,",Males,Ages 18-85+
Fall,250,3.012774162,West,2014,2014,"All Races,",Males,Ages 18-85+
Cut/pierce,192,2.313810557,West,2014,2014,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",114,1.373825018,West,2014,2014,"All Races,",Males,Ages 18-85+
Drowning,44,0.530248253,West,2014,2014,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",35,0.421788383,West,2014,2014,"All Races,",Males,Ages 18-85+
Transportation- Related,32,0.385635093,West,2014,2014,"All Races,",Males,Ages 18-85+
Fire/burn,30,0.361532899,West,2014,2014,"All Races,",Males,Ages 18-85+
Unspecified,5,0.060255483,West,2014,2014,"All Races,",Males,Ages 18-85+
Struck by or Against,1,0.012051097,West,2014,2014,"All Races,",Males,Ages 18-85+
Firearm,18427,55.7954339,United States,2015,2015,"All Races,",Males,Ages 18-85+
Suffocation,8731,26.43674681,United States,2015,2015,"All Races,",Males,Ages 18-85+
Poisoning,3376,10.22224914,United States,2015,2015,"All Races,",Males,Ages 18-85+
Fall,709,2.146793435,United States,2015,2015,"All Races,",Males,Ages 18-85+
Cut/pierce,606,1.834917943,United States,2015,2015,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",435,1.317144068,United States,2015,2015,"All Races,",Males,Ages 18-85+
Drowning,308,0.932598559,United States,2015,2015,"All Races,",Males,Ages 18-85+
Fire/burn,129,0.390601344,United States,2015,2015,"All Races,",Males,Ages 18-85+
Transportation- Related,126,0.381517592,United States,2015,2015,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",113,0.342154666,United States,2015,2015,"All Races,",Males,Ages 18-85+
Unspecified,64,0.193786713,United States,2015,2015,"All Races,",Males,Ages 18-85+
Struck by or Against,2,0.006055835,United States,2015,2015,"All Races,",Males,Ages 18-85+
Firearm,1841,41.12128658,Northeast,2015,2015,"All Races,",Males,Ages 18-85+
Suffocation,1502,33.54925173,Northeast,2015,2015,"All Races,",Males,Ages 18-85+
Poisoning,573,12.79874916,Northeast,2015,2015,"All Races,",Males,Ages 18-85+
Fall,185,4.132231405,Northeast,2015,2015,"All Races,",Males,Ages 18-85+
Cut/pierce,135,3.015412106,Northeast,2015,2015,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",97,2.166629439,Northeast,2015,2015,"All Races,",Males,Ages 18-85+
Drowning,82,1.83158365,Northeast,2015,2015,"All Races,",Males,Ages 18-85+
Transportation- Related,17,0.379718562,Northeast,2015,2015,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",17,0.379718562,Northeast,2015,2015,"All Races,",Males,Ages 18-85+
Fire/burn,16,0.357382176,Northeast,2015,2015,"All Races,",Males,Ages 18-85+
Unspecified,12,0.268036632,Northeast,2015,2015,"All Races,",Males,Ages 18-85+
Firearm,8269,63.24282983,South,2015,2015,"All Races,",Males,Ages 18-85+
Suffocation,2957,22.61567878,South,2015,2015,"All Races,",Males,Ages 18-85+
Poisoning,1094,8.367112811,South,2015,2015,"All Races,",Males,Ages 18-85+
Cut/pierce,193,1.476099426,South,2015,2015,"All Races,",Males,Ages 18-85+
Fall,187,1.430210325,South,2015,2015,"All Races,",Males,Ages 18-85+
Drowning,119,0.910133843,South,2015,2015,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",114,0.871892925,South,2015,2015,"All Races,",Males,Ages 18-85+
Fire/burn,44,0.336520076,South,2015,2015,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",43,0.328871893,South,2015,2015,"All Races,",Males,Ages 18-85+
Transportation- Related,30,0.229445507,South,2015,2015,"All Races,",Males,Ages 18-85+
Unspecified,24,0.183556405,South,2015,2015,"All Races,",Males,Ages 18-85+
Struck by or Against,1,0.007648184,South,2015,2015,"All Races,",Males,Ages 18-85+
Firearm,3935,54.73640284,Midwest,2015,2015,"All Races,",Males,Ages 18-85+
Suffocation,2003,27.86201141,Midwest,2015,2015,"All Races,",Males,Ages 18-85+
Poisoning,780,10.84990958,Midwest,2015,2015,"All Races,",Males,Ages 18-85+
Cut/pierce,121,1.683127,Midwest,2015,2015,"All Races,",Males,Ages 18-85+
Fall,98,1.363193768,Midwest,2015,2015,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",88,1.224092363,Midwest,2015,2015,"All Races,",Males,Ages 18-85+
Drowning,52,0.723327306,Midwest,2015,2015,"All Races,",Males,Ages 18-85+
Transportation- Related,38,0.528585339,Midwest,2015,2015,"All Races,",Males,Ages 18-85+
Fire/burn,34,0.472944777,Midwest,2015,2015,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",23,0.319933231,Midwest,2015,2015,"All Races,",Males,Ages 18-85+
Unspecified,17,0.236472388,Midwest,2015,2015,"All Races,",Males,Ages 18-85+
Firearm,4382,52.89076645,West,2015,2015,"All Races,",Males,Ages 18-85+
Suffocation,2269,27.38684369,West,2015,2015,"All Races,",Males,Ages 18-85+
Poisoning,929,11.21303561,West,2015,2015,"All Races,",Males,Ages 18-85+
Fall,239,2.884731442,West,2015,2015,"All Races,",Males,Ages 18-85+
Cut/pierce,157,1.894990947,West,2015,2015,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",136,1.641520821,West,2015,2015,"All Races,",Males,Ages 18-85+
Drowning,55,0.663850332,West,2015,2015,"All Races,",Males,Ages 18-85+
Transportation- Related,41,0.494870247,West,2015,2015,"All Races,",Males,Ages 18-85+
Fire/burn,35,0.422450211,West,2015,2015,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",30,0.362100181,West,2015,2015,"All Races,",Males,Ages 18-85+
Unspecified,11,0.132770066,West,2015,2015,"All Races,",Males,Ages 18-85+
Struck by or Against,1,0.012070006,West,2015,2015,"All Races,",Males,Ages 18-85+
Firearm,19125,56.77769861,United States,2016,2016,"All Races,",Males,Ages 18-85+
Suffocation,8609,25.55812849,United States,2016,2016,"All Races,",Males,Ages 18-85+
Poisoning,3303,9.805842537,United States,2016,2016,"All Races,",Males,Ages 18-85+
Fall,796,2.36313977,United States,2016,2016,"All Races,",Males,Ages 18-85+
Cut/pierce,710,2.107825674,United States,2016,2016,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",412,1.223132645,United States,2016,2016,"All Races,",Males,Ages 18-85+
Drowning,292,0.866880418,United States,2016,2016,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",131,0.388908681,United States,2016,2016,"All Races,",Males,Ages 18-85+
Fire/burn,129,0.382971144,United States,2016,2016,"All Races,",Males,Ages 18-85+
Transportation- Related,113,0.335470847,United States,2016,2016,"All Races,",Males,Ages 18-85+
Unspecified,63,0.187032419,United States,2016,2016,"All Races,",Males,Ages 18-85+
Struck by or Against,1,0.002968769,United States,2016,2016,"All Races,",Males,Ages 18-85+
Firearm,1972,43.68630926,Northeast,2016,2016,"All Races,",Males,Ages 18-85+
Suffocation,1417,31.39122729,Northeast,2016,2016,"All Races,",Males,Ages 18-85+
Poisoning,564,12.49446167,Northeast,2016,2016,"All Races,",Males,Ages 18-85+
Fall,199,4.408506868,Northeast,2016,2016,"All Races,",Males,Ages 18-85+
Cut/pierce,127,2.813469207,Northeast,2016,2016,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",90,1.993797076,Northeast,2016,2016,"All Races,",Males,Ages 18-85+
Drowning,68,1.506424457,Northeast,2016,2016,"All Races,",Males,Ages 18-85+
Fire/burn,26,0.575985822,Northeast,2016,2016,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",26,0.575985822,Northeast,2016,2016,"All Races,",Males,Ages 18-85+
Unspecified,13,0.287992911,Northeast,2016,2016,"All Races,",Males,Ages 18-85+
Transportation- Related,11,0.243686309,Northeast,2016,2016,"All Races,",Males,Ages 18-85+
Struck by or Against,1,0.022153301,Northeast,2016,2016,"All Races,",Males,Ages 18-85+
Firearm,8399,63.92419514,South,2016,2016,"All Races,",Males,Ages 18-85+
Suffocation,2902,22.08691681,South,2016,2016,"All Races,",Males,Ages 18-85+
Poisoning,1039,7.907755537,South,2016,2016,"All Races,",Males,Ages 18-85+
Cut/pierce,223,1.697237233,South,2016,2016,"All Races,",Males,Ages 18-85+
Fall,208,1.583073293,South,2016,2016,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",110,0.837202222,South,2016,2016,"All Races,",Males,Ages 18-85+
